産地	決定主体	銘柄	区分	状態	情報区分	令和8年産_円	令和7年産_円	前年産との差	発表日	備考
佐賀	JAさが	—	早期米	発表済み	報道	18000			2026-08-07	2026年8月7日報道。銘柄は報道で特定されていない。同じ時期にJAグループ佐賀は主食用うるち米の最低価格の提示を見送っている
香川	JA香川県	コシヒカリ	早期米	発表済み	報道	18000	26100	8,100円安（約31%安）	2026-08-07	仮渡金。2026年8月7日にKSB瀬戸内海放送が報道（日本農業新聞は8月8日）。JA香川県の決定日は特定されていない。令和7年産26,100円は報道の「前年より約3割・8,100円安」から逆算した参考値。担当者は追加払いでコスト指標20,535円に近づけたいとしている
石川	—	—	主食用うるち米	未提示	—					JA石川県中央会会長が「前年を下回る」との見通しを表明（2026年7月14日報道）。例年のお盆前提示は困難との見方。令和7年産は過去最高の30,000円台
愛知	JAあいち経済連	コシヒカリ	主食用うるち米	発表済み	報道	16800			2026-08-10	1等・玄米60キロ。JAあいち経済連は金額を公表しておらず、関係者への取材として2026年8月11日に報道された。「10日までに示した」と報じられたもので決定日は特定されていない。「あきたこまち」も同時に示されたが金額は未確認
福井	JA福井県	コシヒカリ	主食用うるち米	発表済み	決定	17000	29000	12,000円安（約41%安）	2026-08-13	1等・内金。8月13日の臨時理事会で決定。7月中の提示を見送っていた。下げ幅は過去最大で令和6年産の水準に戻った
福井	JA福井県	いちほまれ	主食用うるち米	発表済み	決定	18000	30400	12,400円安（約41%安）	2026-08-13	1等・内金。県ブランド米
福井	JA福井県	ハナエチゼン	主食用うるち米	発表済み	決定	16000	28000	12,000円安（約43%安）	2026-08-13	1等・内金。県内では早生で8月上旬から収穫
福井	JA越前たけふ	コシヒカリ	主食用うるち米	発表済み	決定	17000	29000	約12,000円安	2026-08-13	同日にJA福井県と同水準を提示
岐阜	JAぎふ	—	主食用うるち米	未提示	—					集荷・販売環境を踏まえ検討中で例年より提示が遅れる見込みとJAぎふが告知（2026年8月10日）。コシヒカリ・にじのきらめき・ひとめぼれ・あさひの夢は8月下旬、ハツシモは9月下旬に提示予定
佐賀	JAグループ佐賀	さがびより	主食用うるち米	未提示	—		29500			主食用うるち米の最低価格（最低保証額）の提示を令和8年産では見送り（2026年8月7日報道）。新潟に続く見送りの動き。令和7年産の「さがびより」は29,500円で前年同期の約1.8倍
新潟	全農にいがた	一般コシヒカリ	主食用うるち米	発表済み	決定	18500	30000	11,500円安（約38%安）	2026-08-18	1等・税込。8月18日に決定・公表。令和7年産当初比11,500円安で、全農にいがたは「過去に例がない下落率」とした。令和8年産では春の最低保証額の提示を見送っていた。魚沼・佐渡・岩船産以外の県内産が対象
新潟	全農にいがた	魚沼コシヒカリ	主食用うるち米	発表済み	決定	21000	32500	11,500円安（約35%安）	2026-08-18	1等・税込。同じ8月18日に公表。引き下げ額は一般コシヒカリと同じ11,500円
青森	—	—	主食用うるち米	未提示	—		30000			生産者概算金が2万円を割り込むとの見方が広がっていると報道（2026年7月）。令和7年産は過去最高
岩手	全農いわて	ひとめぼれ	主食用うるち米	未提示	—		28000			基準となる金額を8月下旬に提示する方針（2026年7月報道）。令和7年産は追加払い後31,000円
秋田	—	あきたこまち	主食用うるち米	未提示	—		28300			令和7年産は当初28,300円前後、追加払いを含め最終3万円で現行制度下の過去最高水準
北海道	ホクレン	ゆめぴりか	主食用うるち米	未提示	—		30000			令和7年産は前年当初比で7割超の引き上げ
北海道	ホクレン	ななつぼし	主食用うるち米	未提示	—		29000			令和7年産は前年当初比で7割超の引き上げ
宮城	—	ひとめぼれ	主食用うるち米	未提示	—		28000			令和7年産は令和6年産比で約7割高
岡山	—	コシヒカリ	主食用うるち米	未提示	—		30000			令和7年産は前年当初比で9,900円高
広島	全農ひろしま	コシヒカリ	主食用うるち米	未提示	—		26000			令和7年産の提示額
