産地,決定主体,銘柄,区分,状態,情報区分,令和8年産_円,令和7年産_円,前年産との差,発表日,備考
徳島,JA東とくしま,—,早期米,発表済み,報道,16610,30024,"13,414円安（約45%安）",2026-08-10,"概算金。決定日は特定されていない（徳島新聞2026年8月11日付が「10日分かった」と報道）。報道は30キロ8,305円・前年比6,707円安で、玄米60キロに換算した金額。令和7年産は報道の前年比から逆算した参考値"
千葉,JA全農ちば,コシヒカリ,早期米,発表済み,報道,18000,23800,"5,800円安（約24%安）",2026-07-28,関東の早場米で最初の提示
佐賀,JAさが,七夕こしひかり,早期米,発表済み,報道,18000,,,2026-08-07,生産者概算金。白石町で8月上旬から出回る極早生品種。JAさがは金額を公表しておらず、日本農業新聞（2026年8月7日）が関係者への取材として報道。同じ時期にJAグループ佐賀は主食用うるち米の最低価格の提示を見送っている
香川,JA香川県,コシヒカリ,早期米,発表済み,報道,18000,26100,"8,100円安（約31%安）",2026-08-07,"生産者概算金（報道では仮渡金）。2026年8月7日にKSB瀬戸内海放送が報道（日本農業新聞は8月8日）。JA香川県の決定日は特定されていない。令和7年産26,100円は報道の「前年より約3割・8,100円安」から逆算した参考値。担当者は追加払いでコスト指標20,535円に近づけたいとしている"
愛知,JAあいち経済連,コシヒカリ,主食用うるち米,発表済み,報道,16800,28500,"11,700円安（約41%安）",2026-08-10,"1等・玄米60キロ。ＪＡ概算金（経済連→ＪＡ）。JAあいち経済連は金額を公表しておらず、2026年8月11日に日本農業新聞が関係者への取材として、8月18日に農業協同組合新聞が報道した。決定日は特定されていない。前年産28,500円は報道の前年比▲11,700円から逆算した参考値。1等16,800円のほか2等16,400円・3等15,300円が示されている（CBCテレビ2026年8月21日）"
愛知,JAあいち経済連,あきたこまち,主食用うるち米,発表済み,報道,16800,31000,"14,200円安（約46%安）",2026-08-10,"1等・玄米60キロ。ＪＡ概算金（経済連→ＪＡ）。コシヒカリと同額。令和7年産31,000円は報道の前年比▲14,200円から逆算した参考値"
愛知,JAあいち経済連,ミネアサヒ,主食用うるち米,発表済み,報道,18300,,,2026-08-10,1等・玄米60キロ。ＪＡ概算金（経済連→ＪＡ）。県内では中山間地の銘柄で、コシヒカリより高い。前年産との比較は公表されていない
福井,JA福井県,コシヒカリ,主食用うるち米,発表済み,決定,17000,29000,"12,000円安（約41%安）",2026-08-13,1等・内金（生産者概算金＝ＪＡ→農家）。8月13日の臨時理事会で決定し同日発表。7月中の提示を見送っていた。下げ幅は過去最大で令和6年産の水準に戻った
福井,JA福井県,いちほまれ,主食用うるち米,発表済み,決定,18000,30400,"12,400円安（約41%安）",2026-08-13,1等・内金。県ブランド米
福井,JA福井県,ハナエチゼン,主食用うるち米,発表済み,決定,16000,28000,"12,000円安（約43%安）",2026-08-13,1等・内金。県内では早生で8月上旬から収穫
福井,JA越前たけふ,コシヒカリ,主食用うるち米,発表済み,決定,17000,29000,"約12,000円安",2026-08-13,1等・生産者概算金。同日にJA福井県と同水準を提示
福井,JA越前たけふ,ハナエチゼン,主食用うるち米,発表済み,決定,16000,28000,"12,000円安（約43%安）",2026-08-13,1等・生産者概算金。JA福井県と同額
福井,JA越前たけふ,いちほまれ,主食用うるち米,発表済み,決定,18000,30400,"12,400円安（約41%安）",2026-08-13,1等・生産者概算金。JA福井県と同額
福井,JA越前たけふ,日本晴,主食用うるち米,発表済み,決定,17000,29000,"12,000円安（約41%安）",2026-08-13,"1等・生産者概算金。JA越前たけふ独自の銘柄。令和7年産29,000円は報道の前年比から逆算した参考値"
福井,JA越前たけふ,あきさかり,主食用うるち米,発表済み,決定,19000,31000,"12,000円安（約39%安）",2026-08-13,"1等・生産者概算金。管内で最も高い銘柄。令和7年産31,000円は報道の前年比から逆算した参考値"
岐阜,JAぎふ,—,主食用うるち米,未提示,—,,,,,集荷・販売環境を踏まえ検討中で例年より提示が遅れる見込みとJAぎふが告知（2026年8月10日）。コシヒカリ・にじのきらめき・ひとめぼれ・あさひの夢は8月下旬、ハツシモは9月下旬に提示予定。全農岐阜は8月21日時点で「最終決定はしていないものの、4割ほど下がる印象」としている（CBCテレビ2026年8月21日）
佐賀,JAグループ佐賀,さがびより,主食用うるち米,未提示,—,,29500,,,"主食用うるち米の最低価格（最低保証額）の提示を令和8年産では見送り（2026年8月7日報道）。新潟に続く見送りの動き。令和7年産の「さがびより」は29,500円で前年同期の約1.8倍"
島根,JAしまね,—,主食用うるち米,未提示,—,,,,,令和8年産の集荷に際して農家に示す概算金の「最低保証価格」について、今年は提示を見送る方針を決めた（2026年7月3日報道）。米価下落と卸業者との事前交渉の難航が理由
新潟,全農にいがた,一般コシヒカリ,主食用うるち米,発表済み,決定,18500,30000,"11,500円安（約38%安）",2026-08-18,"1等・税込。ＪＡ概算金（全農→ＪＡ）で、生産者概算金は各ＪＡが設定する。8月18日に決定・公表。令和7年産当初比11,500円安で、全農にいがたは「過去に例がない下落率」とした。令和6年産比は＋1,500円。魚沼・佐渡・岩船産以外の県内産が対象"
新潟,全農にいがた,魚沼コシヒカリ,主食用うるち米,発表済み,決定,21000,32500,"11,500円安（約35%安）",2026-08-18,"1等・税込。ＪＡ概算金（全農→ＪＡ）。同じ8月18日に公表。引き下げ額は一般コシヒカリと同じ11,500円で、令和6年産比は＋1,500円"
新潟,全農にいがた,佐渡コシヒカリ,主食用うるち米,発表済み,決定,18800,30300,"11,500円安（約38%安）",2026-08-18,"1等・税込。ＪＡ概算金（全農→ＪＡ）。8月18日に公表。令和6年産比＋1,500円。令和7年産30,300円は報道の前年比▲11,500円から逆算した参考値"
新潟,全農にいがた,岩船コシヒカリ,主食用うるち米,発表済み,決定,18800,30300,"11,500円安（約38%安）",2026-08-18,"1等・税込。ＪＡ概算金（全農→ＪＡ）。佐渡産と同額。令和7年産30,300円は報道の前年比から逆算した参考値"
新潟,全農にいがた,新之助,主食用うるち米,発表済み,決定,19000,31000,"12,000円安（約39%安）",2026-08-18,"1等・税込。ＪＡ概算金（全農→ＪＡ）。令和6年産比＋1,000円。令和7年産31,000円は報道の前年比から逆算した参考値"
新潟,全農にいがた,こしいぶき,主食用うるち米,発表済み,決定,17000,27000,"10,000円安（約37%安）",2026-08-18,"1等・税込。ＪＡ概算金（全農→ＪＡ）。令和6年産比＋2,500円。令和7年産27,000円は報道の前年比から逆算した参考値"
新潟,全農にいがた,五百万石,契約栽培（酒米・もち米）,発表済み,決定,20500,24000,"3,500円安（約15%安）",2026-08-18,"契約栽培の酒造好適米。ＪＡ概算金（全農→ＪＡ）。令和6年産比＋5,200円。主食用より下げ幅が小さい。令和7年産24,000円は報道の前年比から逆算した参考値"
新潟,全農にいがた,こがねもち,契約栽培（酒米・もち米）,発表済み,決定,22000,30500,"8,500円安（約28%安）",2026-08-18,"契約栽培のもち米。ＪＡ概算金（全農→ＪＡ）。令和6年産比＋5,000円。令和7年産30,500円は報道の前年比から逆算した参考値"
富山,全農とやま,コシヒカリ,主食用うるち米,発表済み,決定,20000,26000,"6,000円安（約23%安）",2026-08-19,"1等・税込。ＪＡ概算金（全農→ＪＡ）。8月19日に全農とやまが決定・公表。下げ幅6,000円は記録のある過去20年で最大。県ＪＡグループが算定した県内の栽培コスト19,770円は上回るが、全国の米のコスト指標20,535円は535円下回る"
富山,全農とやま,富富富,主食用うるち米,発表済み,決定,20800,26800,"6,000円安（約22%安）",2026-08-19,"1等・税込。ＪＡ概算金（全農→ＪＡ）。県内最高値で、コスト指標20,535円を265円上回る"
富山,全農とやま,てんたかく,主食用うるち米,発表済み,決定,20000,26000,"6,000円安（約23%安）",2026-08-19,"1等・税込。ＪＡ概算金（全農→ＪＡ）。コシヒカリと同額。令和7年産26,000円は報道の前年比▲6,000円から逆算した参考値"
富山,全農とやま,てんこもり,主食用うるち米,発表済み,決定,20000,26000,"6,000円安（約23%安）",2026-08-19,"1等・税込。ＪＡ概算金（全農→ＪＡ）。コシヒカリと同額。令和7年産26,000円は報道の前年比▲6,000円から逆算した参考値"
静岡,JA静岡経済連,コシヒカリ,主食用うるち米,発表済み,報道,14040,,,2026-08-18,1等・玄米60キロ。ＪＡ概算金（経済連→ＪＡ）。JA静岡経済連は金額を公表しておらず、日本農業新聞（2026年8月18日）が関係者への取材として報道。決定日は特定されていない。令和8年産の主食用うるち米で最も低い水準。前年産の金額は報道されておらず前年比は不明
北海道,ホクレン,ゆめぴりか,主食用うるち米,発表済み,報道,18000,30000,"12,000円安（約40%安）",2026-08-20,"1等・玄米60キロ。たんぱく値の低い第1区分の金額。ＪＡ概算金（ホクレン→ＪＡ）。8月20日に札幌市で開かれた「うるち米全道共計運営会議」で決定。ホクレンは金額を公表しておらず、日本農業新聞（2026年8月21日）が報道。コスト指標20,535円を2,535円下回る"
北海道,ホクレン,ななつぼし,主食用うるち米,発表済み,報道,17000,29000,"12,000円安（約41%安）",2026-08-20,"1等・玄米60キロ。道内作付面積の約半数を占める主力銘柄。ＪＡ概算金（ホクレン→ＪＡ）。8月20日の「うるち米全道共計運営会議」で決定。北海道ニュースUHBが同日に速報。コスト指標20,535円を3,535円下回る。需給改善を前提に追加払いをめざす考えとみられる"
石川,全農いしかわ,コシヒカリ,主食用うるち米,発表済み,報道,17500,25200,"7,700円安（約31%安）",2026-08-21,"1等・玄米60キロ。ＪＡ概算金（全農→ＪＡ）。8月21日に決定し県内各ＪＡへ提示。令和6年産当初を1,300円上回る水準。全農いしかわは金額を公表しておらず、日本農業新聞・北陸中日新聞（いずれも2026年8月22日）が関係者への取材として報道。令和7年産は当初25,200円で、期中に31,200円へ引き上げられた"
石川,全農いしかわ,ひゃくまん穀,主食用うるち米,発表済み,報道,17500,27000,"9,500円安（約35%安）",2026-08-21,"1等・玄米60キロ。ＪＡ概算金（全農→ＪＡ）。県独自品種でコシヒカリと同額。令和7年産27,000円は報道の前年比▲9,500円から逆算した参考値"
鳥取,全農とっとり,主要銘柄（一律）,主食用うるち米,発表済み,報道,16000,22000,"6,000円安（約27%安）",2026-08-21,"1等・玄米60キロ。ＪＡ概算金（全農→ＪＡ）。県内ＪＡが取り扱ううるち米・もち米など主要銘柄を一律で設定し、翌年夏に精算金を予定。日本農業新聞（2026年8月22日・23日）の報道による。令和7年産22,000円も銘柄一律で、山陰中央新報（2025年7月3日）による"
岩手,全農いわて,ひとめぼれ,主食用うるち米,発表済み,報道,17200,28000,"10,800円安（約39%安）",2026-08-21,"1等・玄米60キロ。ＪＡ概算金（全農→ＪＡ）。8月21日に県内7ＪＡの組合長らが協議して決定。現行の概算金の仕組みになった2015年以降で最大の下げ幅で、令和6年産と同水準。全農いわては金額を公表しておらず、IBC岩手放送・テレビ岩手・岩手めんこいテレビ（いずれも2026年8月21日）の報道による。令和7年産は当初28,000円で追加払い後31,000円"
岩手,全農いわて,銀河のしずく,主食用うるち米,発表済み,報道,17700,,,2026-08-21,1等・玄米60キロ。ＪＡ概算金（全農→ＪＡ）。県のブランド米でひとめぼれより500円高い。前年産との比較は報じられていない
三重,三重県内の複数のＪＡ,コシヒカリ（提示額の下限）,主食用うるち米,発表済み,報道,16700,,前年比4割以上安,2026-08-21,"1等・玄米60キロ。生産者概算金（ＪＡ→農家）。県内の複数ＪＡが16,700〜18,500円を提示。令和7年産は30,000〜33,000円ほどで、いずれも4割以上安。一部ＪＡは10月以降さらに約5,000円低い12,000円ほどを提示しており、期中にこれだけ減額するのは初めて。CBCテレビ（2026年8月21日）の報道による"
三重,三重県内の複数のＪＡ,コシヒカリ（提示額の上限）,主食用うるち米,発表済み,報道,18500,,前年比4割以上安,2026-08-21,"1等・玄米60キロ。生産者概算金（ＪＡ→農家）。提示額の下限16,700円と同じ報道による。ＪＡ名は特定されていない"
青森,—,—,主食用うるち米,未提示,—,,30000,,,生産者概算金が2万円を割り込むとの見方が広がっていると報道（2026年7月）。令和7年産は過去最高
秋田,—,あきたこまち,主食用うるち米,未提示,—,,28300,,,"令和7年産は当初28,300円前後、追加払いを含め最終3万円で現行制度下の過去最高水準"
宮城,—,ひとめぼれ,主食用うるち米,未提示,—,,28000,,,令和7年産は令和6年産比で約7割高
岡山,—,コシヒカリ,主食用うるち米,未提示,—,,30000,,,"令和7年産は前年当初比で9,900円高"
広島,全農ひろしま,コシヒカリ,主食用うるち米,未提示,—,,26000,,,令和7年産の提示額
山形,—,—,主食用うるち米,未提示,,,,,,令和8年産の提示はまだ確認されていない。主食用うるち米の提示は8月下旬から9月にかけて順次で、監視対象として行のみ先に置いた
福島,—,—,主食用うるち米,未提示,,,,,,令和8年産の提示はまだ確認されていない。主食用うるち米の提示は8月下旬から9月にかけて順次で、監視対象として行のみ先に置いた
茨城,—,—,主食用うるち米,未提示,,,,,,令和8年産の提示はまだ確認されていない。主食用うるち米の提示は8月下旬から9月にかけて順次で、監視対象として行のみ先に置いた
栃木,—,—,主食用うるち米,未提示,,,,,,令和8年産の提示はまだ確認されていない。主食用うるち米の提示は8月下旬から9月にかけて順次で、監視対象として行のみ先に置いた
